dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
ood_nsncs_places365,KPCA_RecError_global,Beta,modelvit,do1,rew0,2,0.27616988320144525,0.11905315824849397,0.5408154937316425,0.3522567737988366,0.46353477340884525
val,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.035675196003382946,0.00391330851916934,0.7368184683957049,0.14351601400999564,0.2714292050482139
iid_test,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.016056350426894943,0.0015081206848819339,0.8041705796106409,0.13988012177443454,0.2640597557048666
ood_sncs_c10,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.3149503130729246,0.14573449268526315,0.5769999607536913,0.387609883496533,0.5001697563802877
ood_nsncs_svhn,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.5467561824588675,0.3436816874518755,0.7254575459233156,0.5854305085972159,0.6635738915692622
ood_nsncs_ti,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.29928389160532703,0.1255000696315234,0.5499708761097883,0.37194346202893563,0.48717280537016594
ood_nsncs_lsun_cropped,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.42116691164067804,0.22853860511524168,0.8041705796106409,0.49326747323800096,0.628511843066657
ood_nsncs_lsun_resize,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.37729894384651746,0.1870424442765802,0.6104527701755561,0.4499585142701259,0.5770614661051797
ood_nsncs_isun,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.34289452886281374,0.15754606925743098,0.5866101641940817,0.4201035219918768,0.5494961127774244
ood_nsncs_textures,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.1304914615198421,0.03558749263541195,0.41180163271606157,0.1953838208453182,0.2848819614966904
ood_nsncs_places365,PCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.2554439853790757,0.10238781990228664,0.5395218245896247,0.3272820400246957,0.43424250601745096
val,PCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.025062762464206637,0.003422872658979995,1.0,0.14201160002244823,0.27083465091061426
